Property Name,Numerator,Denominator
CD1T3R,CD1T3,ASSET
CD3LESR,CD3LES,ASSET
CD3LESSR,CD3LESS,ASSET
CDOV3R,CDOV3,ASSET
CDOV3SR,CDOV3S,ASSET
CD3T12R,CD3T12,ASSET
CD3T12SR,CD3T12S,ASSET
CD1T3SR,CD1T3S,ASSET
DEPR,DEP,ASSET
DEPDOMR,DEPDOM,ASSET
EQR,EQ,ASSET
ROA,NETINCA,ASSET5
ROAPTX,NETINBXA,ASSET5
BKPREMR,BKPREM,ASSET
BROR,BRO,ASSET
CHBALR,CHBAL,ASSET
CHBALIR,CHBALI,ASSET
DDTR,DDT,ASSET
DEPFORR,DEPFOR,ASSET
DEPIFORR,DEPIFOR,ASSET
DEPIPCCFR,DEPIPCCF,ASSET
DEPNIFORR,DEPNIFOR,ASSET
EQCSR,EQCS,ASSET
EQPPR,EQPP,ASSET
EQSURR,EQSUR,ASSET
EQUPTOTR,EQUPTOT,ASSET
FREPOR,FREPO,ASSET
FREPPR,FREPP,ASSET
INTANR,INTAN,ASSET
INTEXPY,EINTEXPA,ERNAST5
IRAKEOGHR,IRAKEOGH,ASSET
LIABR,LIAB,ASSET
LIABEQR,LIABEQ,ASSET
LNAGR,LNAG,ASSET
LNATRESRR,LNATRES,ASSET
LNAUTOR,LNAUTO,ASSET
LNCIR,LNCI,ASSET
LNCONR,LNCON,ASSET
LNCONOTHR,LNCONOTH,ASSET
LNCRCDR,LNCRCD,ASSET
LNFGR,LNFG,ASSET
LNLSGRR,LNLSGR,ASSET
LNLSNETR,LNLSNET,ASSET
LNMUNIR,LNMUNI,ASSET
LNOTCIR,LNOTCI,ASSET
LNRER,LNRE,ASSET
LNREAGR,LNREAG,ASSET
LNRECONSR,LNRECONS,ASSET
LNREDOMR,LNREDOM,ASSET
LNREFORR,LNREFOR,ASSET
LNRELOCR,LNRELOC,ASSET
LNREMULTR,LNREMULT,ASSET
LNRENRESR,LNRENRES,ASSET
LNRERESR,LNRERES,ASSET
LSR,LS,ASSET
NTRR,NTR,ASSET
NTRIPCR,NTRIPC,ASSET
NTRMUNIR,NTRMUNI,ASSET
NTRTMLGJR,NTRTMLGJ,ASSET
NTRTMMEDR,NTRTMMED,ASSET
NTRUSGOVR,NTRUSGOV,ASSET
ORER,ORE,ASSET
OTHBFHLBR,OTHBFHLB,ASSET
OTHBRFR,OTHBRF,ASSET
OTBFH1LR,OTBFH1L,ASSET
OTBFH1T3R,OTBFH1T3,ASSET
OTBFH3T5R,OTBFH3T5,ASSET
OTBFHOV5R,OTBFHOV5,ASSET
OTHBFH1LR,OTHBFH1L,ASSET
OTBFHSTAR,OTBFHSTA,ASSET
OTBOT1LR,OTBOT1L,ASSET
OTBOT1T3R,OTBOT1T3,ASSET
OTBOT3T5R,OTBOT3T5,ASSET
OTBOTOV5R,OTBOTOV5,ASSET
OTHBOT1LR,OTHBOT1L,ASSET
ALLOTHLR,ALLOTHL,ASSET
SCR,SC,ASSET
SCDOMOR,SCDOMO,ASSET
SCFORDR,SCFORD,ASSET
SCMTGBKR,SCMTGBK,ASSET
SCMUNIR,SCMUNI,ASSET
SCODPCR,SCODPC,ASSET
SCUSR,SCUS,ASSET
SCUSTR,SCUST,ASSET
TRADELR,TRADEL,ASSET
TRADER,TRADE,ASSET
TRNR,TRN,ASSET
TRNIPCOCR,TRNIPCOC,ASSET
TRNMUNIR,TRNMUNI,ASSET
TRNUSGOVR,TRNUSGOV,ASSET
TSR,TS,ASSET
ABCUBKR,ABCUBK,ASSET
ABCUOTHR,ABCUOTH,ASSET
ABCXBKR,ABCXBK,ASSET
ABCXOTHR,ABCXOTH,ASSET
ASCEOTHR,ASCEOTH,ASSET
ASCERESR,ASCERES,ASSET
ASDROTHR,ASDROTH,ASSET
ASDRRESR,ASDRRES,ASSET
ASSTLTR,ASSTLT,ASSET
AVASSETJR,AVASSETJ,ASSET
BROINSR,BROINS,ASSET
CHBALNIR,CHBALNI,ASSET
CHCICR,CHCIC,ASSET
CHCOINR,CHCOIN,ASSET
CHFRBR,CHFRB,ASSET
CHITEMR,CHITEM,ASSET
CHNUSR,CHNUS,ASSET
CHUSR,CHUS,ASSET
COREDEPR,COREDEP,ASSET
DEPCSBQR,DEPCSBQ,ASSET
DEPFBKFR,DEPFBKF,ASSET
DEPFGOVFR,DEPFGOVF,ASSET
DEPIDOMR,DEPIDOM,ASSET
DEPINSR,DEPINS,ASSET
DEPLGAMTR,DEPLGAMT,ASSET
DEPLGRAR,DEPLGRA,ASSET
DEPLSNBR,DEPLSNB,ASSET
DEPNIDOMR,DEPNIDOM,ASSET
DEPSMAMTR,DEPSMAMT,ASSET
DEPSMRAR,DEPSMRA,ASSET
DEPUNAR,DEPUNA,ASSET
DEPUSBKFR,DEPUSBKF,ASSET
